,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,age
0,450000,145500,Diesel,Individual,Manual,1.0,23.4,1248 ,74,5.0,7
1,370000,120000,Diesel,Individual,Manual,2.0,21.14,1498 ,103.52,5.0,7
2,158000,140000,Petrol,Individual,Manual,3.0,17.7,1497 ,78,5.0,15
3,225000,127000,Diesel,Individual,Manual,1.0,23.0,1396 ,90,5.0,11
4,130000,120000,Petrol,Individual,Manual,1.0,16.1,1298 ,88.2,5.0,14
5,440000,45000,Petrol,Individual,Manual,1.0,20.14,1197 ,81.86,5.0,4
6,96000,175000,LPG,Individual,Manual,1.0,17.3,1061 ,57.5,5.0,14
7,45000,5000,Petrol,Individual,Manual,2.0,16.1,796 ,37,4.0,20
8,350000,90000,Diesel,Individual,Manual,1.0,23.59,1364 ,67.1,5.0,10
9,200000,169000,Diesel,Individual,Manual,1.0,20.0,1399 ,68.1,5.0,8
10,500000,68000,Diesel,Individual,Manual,2.0,19.01,1461 ,108.45,5.0,7
11,92000,100000,Petrol,Individual,Manual,2.0,17.3,993 ,60,5.0,16
12,280000,140000,Diesel,Individual,Manual,2.0,19.3,1248 ,73.9,5.0,12
14,180000,90000,Petrol,Individual,Manual,2.0,18.9,1061 ,67,5.0,12
15,400000,40000,Petrol,Individual,Manual,1.0,18.15,1198 ,82,5.0,5
16,778000,70000,Diesel,Individual,Manual,2.0,24.52,1248 ,88.5,7.0,5
17,500000,53000,Diesel,Individual,Manual,2.0,23.0,1396 ,90,5.0,9
18,150000,80000,Petrol,Individual,Manual,2.0,19.7,796 ,46.3,5.0,19
19,680000,100000,Diesel,Individual,Manual,1.0,22.54,1396 ,88.73,5.0,5
20,174000,100000,Diesel,Individual,Manual,2.0,21.0,1461 ,64.1,5.0,10
21,950000,50000,Diesel,Individual,Manual,1.0,25.5,1498 ,98.6,5.0,4
22,525000,40000,Diesel,Individual,Manual,1.0,26.59,1248 ,74,5.0,6
23,600000,72000,Diesel,Individual,Manual,1.0,21.5,1248 ,88.8,5.0,9
24,500000,35000,Petrol,Individual,Manual,1.0,20.3,1199 ,83.81,5.0,3
25,575000,45000,Petrol,Individual,Manual,1.0,21.4,1197 ,83.1,5.0,5
26,275000,28000,Petrol,Individual,Manual,1.0,24.7,796 ,47.3,5.0,4
27,300000,70000,Diesel,Individual,Manual,1.0,18.2,1248 ,73.8,7.0,8
28,220000,120000,Petrol,Individual,Manual,1.0,18.9,1061 ,67,5.0,12
29,254999,25000,Petrol,Individual,Manual,1.0,16.8,796 ,34.2,8.0,3
30,670000,70000,Diesel,Individual,Manual,1.0,24.3,1248 ,88.5,5.0,4
32,150000,35000,Petrol,Individual,Manual,2.0,14.0,796 ,35,5.0,9
33,730000,2388,Petrol,Individual,Manual,1.0,18.6,1197 ,81.83,5.0,3
